Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6665980,"If Life Is a Game, These Are the Rules: Ten Rules for Being Human as Introduced in Chicken Soup for the Soul",Cherie Carter-Scott,"Carter-Scott, Cherie",,"=""""","=""""",3,3.92,,Kindle Edition,139,,1998,2023/11/06,2023/10/28,,,read,,,,1,0
8128736,"Catching the Big Fish: Meditation, Consciousness, and Creativity: 10th Anniversary Edition",David Lynch,"Lynch, David",,"=""""","=""""",0,3.72,,Kindle Edition,200,,2006,2023/10/27,2023/10/23,,,read,,,,1,0
25265014,"Big Magic: How to Live a Creative Life, and Let Go of Your Fear",Elizabeth Gilbert,"Gilbert, Elizabeth",,"=""1408866765""","=""""",0,3.95,Bloomsbury Publishing,Kindle Edition,289,2015,2015,,2023/10/15,currently-reading,currently-reading (#7),currently-reading,,,,1,0
40488122,The Power Of Habit: Why We Do What We Do In Life And Business,Charles Duhigg,"Duhigg, Charles",,"=""""","=""""",0,4.13,Random House,Kindle Edition,405,2012,2012,,2023/10/02,currently-reading,currently-reading (#6),currently-reading,,,,1,0
60283639,Seneca's Letters from a Stoic,Seneca,"Seneca, Seneca",,"=""2384230719""","=""9782384230716""",0,4.35,Classics HQ,Kindle Edition,320,2022,65,,2023/10/02,currently-reading,currently-reading (#5),currently-reading,,,,1,0
196239284,$100M Leads: How to Get Strangers To Want To Buy Your Stuff (Acquisition.com $100M Series Book 2),Alex Hormozi,"Hormozi, Alex",,"=""""","=""""",4,4.75,,Kindle Edition,438,2023,,2023/09/30,2023/08/22,,,read,,,,1,0
37653154,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",,"=""""","=""""",5,4.17,Currency,Kindle Edition,223,2014,2014,2023/09/16,2023/09/10,,,read,,,,1,0
37767119,"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,"Morin, Amy",,"=""""","=""""",4,3.91,William Morrow,Kindle Edition,275,2014,2014,2023/08/22,2023/08/18,,,read,,,,1,0
55148500,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"Jorgenson, Eric","Tim Ferriss, Jack Butcher","=""1544514204""","=""""",0,4.46,Magrathea Publishing,Kindle Edition,242,2020,2020,2023/07/28,2023/07/13,,,read,,,,1,0
50882242,"I Will Teach You To Be Rich: No guilt, no excuses - just a 6-week programme that works",Ramit Sethi,"Sethi, Ramit",,"=""1529308070""","=""9781529308075""",0,4.17,Yellow Kite,Kindle Edition,304,2020,2009,,2023/07/08,currently-reading,currently-reading (#4),currently-reading,,,,1,0
34937695,"UNSCRIPTED: Life, Liberty, and the Pursuit of Entrepreneurship",M.J. DeMarco,"DeMarco, M.J.",,"=""098435817X""","=""9780984358175""",5,4.43,Viperion Publishing Corporation,Kindle Edition,433,2017,2017,2023/07/02,2023/07/02,,,read,,,,1,0
54615298,How Google Works,Eric Schmidt,"Schmidt, Eric",Jonathan Rosenberg,"=""1444792482""","=""""",0,4.05,John Murray,Kindle Edition,305,2014,2014,,2022/06/15,currently-reading,currently-reading (#3),currently-reading,,,,1,0
36684893,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,"Stanier, Michael Bungay",,"=""0978440757""","=""""",0,4.03,Box of Crayons Press,Kindle Edition,251,2016,2016,2022/03/29,2022/03/21,,,read,,,,1,0
40920782,The Prophet (Macmillan Collector's Library),Kahlil Gibran,"Gibran, Kahlil",,"=""""","=""""",5,4.23,Road 2 Success,Kindle Edition,,2018,1923,2022/03/21,2022/03/19,,,read,,,,1,0
57468340,"Price Action Trading Secrets: Trading Strategies, Tools, and Techniques to Help You Become a Consistently Profitable Trader",Rayner Teo,"Teo, Rayner",,"=""""","=""""",0,4.26,,Kindle Edition,147,2021,,,2022/03/21,currently-reading,currently-reading (#2),currently-reading,,,,1,0
40056618,Building a StoryBrand: Clarify Your Message So Customers Will Listen,Donald Miller,"Miller, Donald",,"=""""","=""""",0,4.27,HarperCollins Leadership,Kindle Edition,240,2017,2017,,2022/03/21,currently-reading,currently-reading (#1),currently-reading,,,,1,0
36435807,The Acquirer's Multiple: How the Billionaire Contrarians of Deep Value Beat the Market,Tobias E. Carlisle,"Carlisle, Tobias E.",,"=""""","=""""",0,3.99,Ballymore Publishing,Kindle Edition,161,2017,2017,2022/03/18,2022/03/16,,,read,,,,1,0
60592662,GPF: One Decision At a Time: Recovery Method to Start Living,Simon Howlett,"Howlett, Simon",,"=""""","=""""",5,5.00,,Kindle Edition,45,2022,,2022/03/11,2022/03/11,,,read,,,,1,0
5378736,Rule #1: The Simple Strategy for Getting Rich--in Only 15 Minutes a Week!,Phil Town,"Town, Phil",,"=""""","=""""",0,4.14,,Kindle Edition,320,,2006,2021/01/08,2020/10/18,,,read,,,,1,0
11588,"The Shining (The Shining, #1)",Stephen King,"King, Stephen",,"=""0450040186""","=""9780450040184""",0,4.26,New English Library (Hodder & Stoughton) ,Paperback,497,1980,1977,,2020/06/29,to-read,to-read (#2),to-read,,,,0,0
830502,It,Stephen King,"King, Stephen",,"=""0450411435""","=""9780450411434""",0,4.25,New English Library,Paperback,1168,1987,1986,,2020/06/29,to-read,to-read (#1),to-read,,,,0,0
